                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2021


NAME: Kingstowne, VA                  
ELEV: 28 feet    LAT: 38-46.01 N    LONG: 077-09.08 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   76.1   84.6  11:54   66.4  23:11    0.0   11.1   0.85    2.1   12.0  15:23    146
 02   70.0   81.0  14:51   60.1  06:59    0.0    5.0   0.00    2.1   13.0  11:38     80
 03   68.9   81.3  14:53   56.8  07:00    0.0    3.9   0.00    1.1    8.0  11:33    102
 04   69.9   82.1  14:16   58.9  06:03    0.0    4.9   0.00    0.9    8.0  16:01    167
 05   73.6   81.9  14:01   66.7  01:34    0.0    8.6   0.00    0.8    7.0  09:02    167
 06   77.0   88.9  15:11   68.8  07:07    0.0   12.0   0.01    1.0    8.0  09:41    125
 07   75.2   90.2  14:36   61.8  05:14    0.0   10.2   0.00    0.9    9.0  16:14    166
 08   77.0   90.5  14:57   66.0  05:06    0.0   12.0   0.00    1.8   10.0  16:54    168
 09   71.5   79.0  17:16   65.7  23:31    0.0    6.5   0.26    1.1    7.0  00:55    109
 10   68.5   78.8  15:20   61.2  23:57    0.0    3.5   0.00    1.8   13.0  12:30     87
 11   69.1   82.6  15:21   55.8  06:46    0.0    4.1   0.00    1.0   11.0  13:38    167
 12   74.8   87.5  14:55   62.1  06:54    0.0    9.8   0.00    1.5   12.0  15:04    173
 13   79.7   92.5  14:28   67.2  07:04    0.0   14.7   0.00    0.6    6.0  12:16    147
 14   80.1   92.1  14:16   69.6  07:08    0.0   15.1   0.00    0.9    9.0  16:36    159
 15   80.4   92.5  14:23   69.4  06:57    0.0   15.4   0.00    1.5   12.0  13:03    169
 16   75.3   85.9  13:47   71.0  06:40    0.0   10.3   0.84    1.5   10.0  15:29    101
 17   74.3   80.8  15:50   70.8  23:45    0.0    9.3   0.17    1.7    9.0  08:18     93
 18   76.2   88.2  15:04   67.0  06:57    0.0   11.2   0.01    0.6    7.0  16:11    149
 19   74.4   83.5  14:32   64.9  23:55    0.0    9.4   0.00    1.3   10.0  09:01     88
 20   70.9   80.8  14:25   61.2  07:05    0.0    5.9   0.00    1.7   10.0  17:15    127
 21   72.9   82.9  14:15   63.6  02:01    0.0    7.9   0.00    1.7    8.0  09:50    141
 22   74.1   81.3  13:57   70.4  02:53    0.0    9.1   0.33    2.3   13.0  15:04    166
 23   69.5   78.1  14:57   58.5  23:57    0.0    4.5   1.43    1.8   11.0  02:28    142
 24   63.2   76.1  14:59   51.1  06:30    1.8    0.0   0.00    0.7    8.0  13:12    105
 25   64.7   77.9  15:22   51.5  07:04    0.3    0.0   0.00    0.5    6.0  10:30    154
 26   66.5   78.0  14:51   55.5  07:26    0.0    1.5   0.00    1.2   11.0  12:05    128
 27   67.3   81.9  14:51   52.9  07:13    0.0    2.3   0.00    1.2   11.0  13:43    180
 28   71.2   82.0  10:35   59.4  07:00    0.0    6.2   0.00    0.6    6.0  00:23    150
 29   64.9   75.4  14:52   55.5  23:55    0.1    0.0   0.00    1.3    9.0  11:46     92
 30   63.8   76.2  15:12   52.7  05:43    1.2    0.0   0.00    1.1    9.0  13:38     97
---------------------------------------------------------------------------------------
      72.0   92.5     13   51.1     24    3.4  214.4   3.90    1.3   13.0     02    135
    
